fid,adm0_code,adm0_name,last_updat,continent,region,adm|Show
1,98,Greenland,20050415,Americas,Northern America,
3,98,Greenland,20050415,Americas,Northern America,
4,98,Greenland,20050415,Americas,Northern America,
5,98,Greenland,20050415,Americas,Northern America,
6,98,Greenland,20050415,Americas,Northern America,
7,98,Greenland,20050415,Americas,Northern America,
8,98,Greenland,20050415,Americas,Northern America,
9,98,Greenland,20050415,Americas,Northern America,
10,98,Greenland,20050415,Americas,Northern America,
11,98,Greenland,20050415,Americas,Northern America,
12,98,Greenland,20050415,Americas,Northern America,
13,98,Greenland,20050415,Americas,Northern America,
14,98,Greenland,20050415,Americas,Northern America,
15,98,Greenland,20050415,Americas,Northern America,
16,98,Greenland,20050415,Americas,Northern America,
17,98,Greenland,20050415,Americas,Northern America,
18,46,Canada,20050415,Americas,Northern America,
19,98,Greenland,20050415,Americas,Northern America,
20,46,Canada,20050415,Americas,Northern America,
21,46,Canada,20050415,Americas,Northern America,
22,46,Canada,20050415,Americas,Northern America,
23,46,Canada,20050415,Americas,Northern America,
24,46,Canada,20050415,Americas,Northern America,
25,98,Greenland,20050415,Americas,Northern America,
28,98,Greenland,20050415,Americas,Northern America,
29,46,Canada,20050415,Americas,Northern America,
30,46,Canada,20050415,Americas,Northern America,
32,98,Greenland,20050415,Americas,Northern America,
34,98,Greenland,20050415,Americas,Northern America,
35,46,Canada,20050415,Americas,Northern America,
36,46,Canada,20050415,Americas,Northern America,
37,46,Canada,20050415,Americas,Northern America,
38,98,Greenland,20050415,Americas,Northern America,
39,46,Canada,20050415,Americas,Northern America,
40,98,Greenland,20050415,Americas,Northern America,
41,46,Canada,20050415,Americas,Northern America,
42,98,Greenland,20050415,Americas,Northern America,
43,98,Greenland,20050415,Americas,Northern America,
44,98,Greenland,20050415,Americas,Northern America,
45,46,Canada,20050415,Americas,Northern America,
46,98,Greenland,20050415,Americas,Northern America,
47,98,Greenland,20050415,Americas,Northern America,
50,46,Canada,20050415,Americas,Northern America,
68,98,Greenland,20050415,Americas,Northern America,
51,46,Canada,20050415,Americas,Northern America,
52,46,Canada,20050415,Americas,Northern America,
54,46,Canada,20050415,Americas,Northern America,
55,46,Canada,20050415,Americas,Northern America,
56,46,Canada,20050415,Americas,Northern America,
57,98,Greenland,20050415,Americas,Northern America,
58,204,Russian Federation,20050415,Europe,Eastern Europe,
59,98,Greenland,20050415,Americas,Northern America,
60,98,Greenland,20050415,Americas,Northern America,
61,98,Greenland,20050415,Americas,Northern America,
62,204,Russian Federation,20050415,Europe,Eastern Europe,
65,46,Canada,20050415,Americas,Northern America,
66,204,Russian Federation,20050415,Europe,Eastern Europe,
71,204,Russian Federation,20050415,Europe,Eastern Europe,
72,98,Greenland,20050415,Americas,Northern America,
73,46,Canada,20050415,Americas,Northern America,
74,204,Russian Federation,20050415,Europe,Eastern Europe,
76,204,Russian Federation,20050415,Europe,Eastern Europe,
77,204,Russian Federation,20050415,Europe,Eastern Europe,
78,46,Canada,20050415,Americas,Northern America,
79,98,Greenland,20050415,Americas,Northern America,
81,204,Russian Federation,20050415,Europe,Eastern Europe,
82,46,Canada,20050415,Americas,Northern America,
83,204,Russian Federation,20050415,Europe,Eastern Europe,
84,204,Russian Federation,20050415,Europe,Eastern Europe,
85,204,Russian Federation,20050415,Europe,Eastern Europe,
86,46,Canada,20050415,Americas,Northern America,
87,46,Canada,20050415,Americas,Northern America,
91,204,Russian Federation,20050415,Europe,Eastern Europe,
92,204,Russian Federation,20050415,Europe,Eastern Europe,
93,204,Russian Federation,20050415,Europe,Eastern Europe,
94,204,Russian Federation,20050415,Europe,Eastern Europe,
96,204,Russian Federation,20050415,Europe,Eastern Europe,
98,46,Canada,20050415,Americas,Northern America,
99,204,Russian Federation,20050415,Europe,Eastern Europe,
100,204,Russian Federation,20050415,Europe,Eastern Europe,
101,98,Greenland,20050415,Americas,Northern America,
102,204,Russian Federation,20050415,Europe,Eastern Europe,
104,98,Greenland,20050415,Americas,Northern America,
105,204,Russian Federation,20050415,Europe,Eastern Europe,
106,204,Russian Federation,20050415,Europe,Eastern Europe,
107,204,Russian Federation,20050415,Europe,Eastern Europe,
108,204,Russian Federation,20050415,Europe,Eastern Europe,
110,204,Russian Federation,20050415,Europe,Eastern Europe,
111,204,Russian Federation,20050415,Europe,Eastern Europe,
112,204,Russian Federation,20050415,Europe,Eastern Europe,
113,46,Canada,20050415,Americas,Northern America,
122,46,Canada,20050415,Americas,Northern America,
114,204,Russian Federation,20050415,Europe,Eastern Europe,
115,46,Canada,20050415,Americas,Northern America,
116,98,Greenland,20050415,Americas,Northern America,
117,204,Russian Federation,20050415,Europe,Eastern Europe,
118,204,Russian Federation,20050415,Europe,Eastern Europe,
119,204,Russian Federation,20050415,Europe,Eastern Europe,
120,204,Russian Federation,20050415,Europe,Eastern Europe,
121,204,Russian Federation,20050415,Europe,Eastern Europe,
124,234,Svalbard and Jan Mayen Islands,20050415,Europe,Northern Europe,
125,204,Russian Federation,20050415,Europe,Eastern Europe,
128,46,Canada,20050415,Americas,Northern America,
129,46,Canada,20050415,Americas,Northern America,
130,46,Canada,20050415,Americas,Northern America,
132,46,Canada,20050415,Americas,Northern America,
133,204,Russian Federation,20050415,Europe,Eastern Europe,
135,204,Russian Federation,20050415,Europe,Eastern Europe,
136,204,Russian Federation,20050415,Europe,Eastern Europe,
